Region,TikTok,Facebook,YouTube,Instagram
Gorontalo,39%,22%,26%,13%
Sumatera Utara,17%,35%,34%,14%
Bengkulu,25%,32%,28%,15%
Kepulauan Riau,18%,27%,37%,18%
Riau,20%,32%,32%,16%
Aceh,23%,30%,29%,18%
Sulawesi Barat,36%,26%,24%,14%
Sulawesi Tengah,32%,25%,29%,14%
Sumatera Barat,21%,31%,30%,18%
Nusa Tenggara Barat,27%,28%,30%,15%
Jakarta Raya,13%,30%,38%,19%
Kalimantan Timur,24%,23%,33%,20%
Jambi,25%,31%,27%,17%
Kalimantan Tengah,31%,22%,29%,18%
Jawa Barat,22%,28%,31%,19%
Sulawesi Tenggara,33%,25%,25%,17%
Sumatera Selatan,24%,31%,29%,16%
Nusa Tenggara Timur,20%,30%,35%,15%
Kalimantan Barat,28%,26%,29%,17%
Kalimantan Selatan,25%,22%,31%,22%
Lampung,29%,27%,26%,18%
Jawa Barat,25%,25%,30%,20%
Sulawesi Utara,30%,26%,30%,14%
Kalimantan Utara,31%,21%,29%,19%
Sulawesi Selatan,24%,29%,29%,18%
Maluku Utara,33%,28%,25%,14%
Bangka Belitung,28%,28%,25%,19%
Bali,18%,24%,37%,21%
Yogyakarta,19%,24%,32%,25%
Banten,22%,27%,31%,20%
Jawa Tengah,22%,27%,30%,21%
Papua,20%,32%,30%,18%
Papua Barat,25%,32%,28%,15%
Maluku,26%,30%,28%,16%
