Week,TikTok,Facebook,YouTube,Instagram
2020-03-15,3,77,77,40
2020-03-22,3,77,73,43
2020-03-29,4,76,75,44
2020-04-05,4,79,77,44
2020-04-12,4,81,75,47
2020-04-19,4,85,80,49
2020-04-26,5,87,73,52
2020-05-03,5,90,79,53
2020-05-10,5,90,79,50
2020-05-17,5,92,79,53
2020-05-24,5,100,80,56
2020-05-31,5,80,74,50
2020-06-07,6,81,76,47
2020-06-14,7,86,81,50
2020-06-21,7,89,85,51
2020-06-28,7,88,82,54
2020-07-05,8,86,84,52
2020-07-12,7,82,82,52
2020-07-19,7,75,74,45
2020-07-26,7,75,73,45
2020-08-02,7,71,72,42
2020-08-09,8,71,74,42
2020-08-16,9,77,76,47
2020-08-23,9,69,72,42
2020-08-30,9,76,73,42
2020-09-06,10,69,72,41
2020-09-13,10,70,72,41
2020-09-20,10,69,70,40
2020-09-27,11,65,69,38
2020-10-04,11,68,70,41
2020-10-11,12,69,71,41
2020-10-18,12,67,70,39
2020-10-25,15,73,73,43
2020-11-01,14,66,70,38
2020-11-08,15,66,74,39
2020-11-15,13,68,72,40
2020-11-22,15,65,71,41
2020-11-29,17,59,64,35
2020-12-06,19,66,67,39
2020-12-13,19,68,75,43
2020-12-20,22,72,69,44
2020-12-27,24,73,74,46
2021-01-03,25,68,68,41
2021-01-10,22,62,67,37
2021-01-17,24,63,70,36
2021-01-24,32,60,66,36
2021-01-31,32,62,68,37
2021-02-07,35,63,66,38
2021-02-14,34,60,66,41
2021-02-21,33,60,67,39
2021-02-28,34,58,63,35
2021-03-07,35,58,65,37
2021-03-14,32,56,59,35
2021-03-21,35,58,65,36
2021-03-28,40,60,64,38
2021-04-04,40,61,67,38
2021-04-11,47,64,66,40
2021-04-18,44,63,64,37
2021-04-25,47,62,65,39
2021-05-02,54,64,64,42
2021-05-09,59,71,62,43
2021-05-16,64,64,61,41
2021-05-23,62,62,61,39
2021-05-30,59,57,58,36
2021-06-06,58,58,60,34
2021-06-13,64,57,64,35
2021-06-20,66,60,63,41
2021-06-27,68,57,62,38
2021-07-04,71,59,63,41
2021-07-11,71,57,66,41
2021-07-18,72,59,63,40
2021-07-25,64,57,58,37
2021-08-01,63,54,60,37
2021-08-08,68,55,59,40
2021-08-15,65,54,59,39
2021-08-22,63,54,59,37
2021-08-29,67,51,59,37
2021-09-05,70,53,62,35
2021-09-12,67,52,61,34
2021-09-19,67,51,61,34
2021-09-26,70,50,62,35
2021-10-03,73,55,61,38
2021-10-10,78,52,64,37
2021-10-17,79,54,66,39
2021-10-24,70,50,63,38
2021-10-31,71,51,59,36
2021-11-07,70,51,62,36
2021-11-14,74,51,63,38
2021-11-21,78,49,66,36
2021-11-28,71,48,60,34
2021-12-05,71,49,62,38
2021-12-12,78,52,67,40
2021-12-19,83,54,69,40
2021-12-26,91,52,65,43
2022-01-02,80,48,69,39
2022-01-09,73,46,69,36
2022-01-16,68,43,64,35
2022-01-23,64,43,61,36
2022-01-30,77,49,72,41
2022-02-06,72,45,67,39
2022-02-13,67,40,61,36
2022-02-20,67,41,63,35
2022-02-27,75,43,60,39
2022-03-06,65,40,59,35
2022-03-13,65,39,60,35
2022-03-20,65,42,58,35
2022-03-27,69,41,65,36
2022-04-03,73,43,63,39
2022-04-10,73,47,61,37
2022-04-17,71,43,60,38
2022-04-24,79,46,60,39
2022-05-01,86,47,53,42
2022-05-08,76,44,56,40
2022-05-15,77,44,61,39
2022-05-22,74,45,61,40
2022-05-29,75,43,60,40
2022-06-05,77,43,61,39
2022-06-12,84,44,63,41
2022-06-19,88,44,64,42
2022-06-26,82,42,62,44
2022-07-03,79,44,61,41
2022-07-10,80,44,59,43
2022-07-17,71,42,59,39
2022-07-24,76,39,57,37
