,Tweets,Subjectivity,Polarity,Sentiment
0,Jordan Peele a damn GENIUS. I never heard of this chimp attack before. If you’ve seen Nope check this out. VIEWER DISCRETION ADVISE!!!The Woman Who Was Mauled By a 200-Pound Chimp | The Oprah Winfrey Show |...  via ,0.0,0.0,Neutral
1,_ youtube premium,0.0,0.0,Neutral
2,Sen. Hawley Fled Capitol When It Was Stormed By Rioters  via ,0.0,0.0,Neutral
3,we are not finna listen to man who recorded a literal dead body for youtube content. be serious ,0.5333333333333333,-0.26666666666666666,Negative
4,What a great song by “John Mark McMillan” “No County”Click here to listen  ,0.75,0.8,Positive
5,Good point by ,0.6000000000000001,0.7,Positive
6,Mining Supplies Unboxing!  via  Thank you again!   ,0.0,0.0,Neutral
7,Slowpaddle Shark Weeks Ted Peters Famous Smoked Fish  via  SharkWeek2022 BBQ ,1.0,0.5,Positive
8,"Our Ask PCOS App for women with PCOS now has 21K users across 178 countries 👉  moderated discussion forum, symptom tracker, user-friendly information &amp; more.  Watch the new demo video 👇 ",0.4772727272727273,0.3181818181818182,Positive
9, was mentioned in the new _Southern video. I love Keri Smith.boycottaquaman2 EvanRachelWoodIsALiar  ,0.3515151515151515,0.21212121212121213,Positive
10,"  It's not like, it hadn't happened before. Ricky Rudd got absolutely, robbed @ Sonoma in '91 for spinning Davey Allison. ",0.9,0.2,Positive
11,"_c_world I think Weavle got his like multiple times. First When Yugi stomped him when he tried to cheat in the tournament, then Jonuchi beat him battle city, and finally the Berzerk soul bit… my favorite part is the dub when he goes “A monster..Oh well.”",0.5833333333333333,0.1875,Positive
12,"Praise and Worship - July 24, 2022  via ",0.0,0.0,Neutral
13,"Lol AJ Hawk Got To Drink Out Of, Party With The Lord Stanley Cup?! | Pat McA... ",0.7,1.0,Positive
14,TheStoryOfLordShivaBum have the disgracefull meaning in the dictionary then how this Bum Bum Bhole is regarded as Mantra of Shiva. Visit us- Satlok Ashram YouTube ChannelKabir is Supreme God ,0.0,0.0,Neutral
15,38 Times President Trump Has Condemned Racism and White Supremacy  via ,0.0,0.0,Neutral
16,Testing out content before I choose to stream it on youtube! ,0.0,0.0,Neutral
17,_Whitman  You are very welcome!,1.0,1.0,Positive
18,Wilt Chamberlain was the Goat!  🐐 goat nba halloffame crypto hex,0.0,0.0,Neutral
19,"Haven't heard from PatrickLancaster in a while. He does an excellent interview with a local that lays out what everyone knows! Its always amazes me how common citizens, off pretty much any street on earth, outside of EU &amp; US know exactly what's going on!",0.42857142857142855,0.2089285714285714,Positive
20,  So much fun!,0.2,0.375,Positive
21,"    Better look up Canadian Earthquake Researcher. Megaquake and Tsunamis soon. Probably September, 2022, plates are stuck. 60 Minutes aired Geologist warning Indonesia.",0.6,0.3,Positive
22,IM BACK!!! ,0.0,0.0,Neutral
23,Objects in mirror are closer than they appear. BF2042 Battlefield2042 caraccident friendlyfire Wtf PS4share,1.0,-0.5,Negative
24,      Hi I’m new to YouTube ,0.45454545454545453,0.13636363636363635,Positive
25," _soda  Those guys already have a YouTube show, they don't need extra screen time",0.1,0.0,Neutral
26,Check out Latest video Harry and wife make this swipe at Queen  security,0.9,0.5,Positive
27,  I wouldn't take the word of 9 commentary. They think nothing should ever be penalised. They are too far in the extreme. For the record I publicly said the tigers should get the 2 points.,0.688888888888889,-0.008333333333333331,Negative
